date_kst,rank,brand,product_name,price_current_usd,price_original_usd,discount_rate_pct,value_price_usd,has_value_price,product_url,image_url
2025-08-15,17,UNOVE,UNOVE,34.76,49.0,29.06,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250228730,
2025-08-15,18,Dr.G,Dr.G,33.34,44.0,24.23,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250531055,
2025-08-15,19,LACTO-FIT,LACTO-FIT,33.79,49.0,31.04,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250631353,
2025-08-15,20,numbuzin,numbuzin,24.3,27.0,10.0,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA230518528,
2025-08-15,21,HEVEBLUE,HEVEBLUE,33.79,49.0,31.04,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250732547,
2025-08-15,22,espoir,espoir,31.9,40.0,20.25,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA231121068,
2025-08-15,23,FOODOLOGY,FOODOLOGY,18.18,21.0,13.43,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250731955,
2025-08-15,24,THE SAEM,THE SAEM,12.6,14.0,10.0,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA231121044,
2025-08-15,25,Dr.G,Dr.G,33.34,44.0,24.23,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250531055,
2025-08-15,26,FOODOLOGY,FOODOLOGY,18.65,21.0,11.19,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250732327,
2025-08-15,27,MEDIHEAL,MEDIHEAL,26.9,41.0,34.39,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250732437,
2025-08-15,28,ETUDE,ETUDE,23.25,31.0,25.0,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250631685,
2025-08-15,29,SUNGBOON EDITOR,SUNGBOON EDITOR,86.5,176.43,50.97,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250732436,
2025-08-15,30,ILLIYOON,ILLIYOON,16.17,22.0,26.5,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA210911943,
2025-08-15,31,ROUND LAB,ROUND LAB,28.0,34.0,17.65,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA220414579,
2025-08-15,32,HERA,HERA,52.44,57.0,8.0,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA240825234,
2025-08-15,33,Torriden,Torriden,31.5,42.0,25.0,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250732129,
2025-08-15,34,VT,VT,37.68,67.0,43.76,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250530893,
2025-08-15,35,COSNORI,COSNORI,13.6,17.0,20.0,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA210003122,
2025-08-15,36,SUNGBOON EDITOR,SUNGBOON EDITOR,30.21,42.0,28.07,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250732242,
2025-08-15,37,LACTO-FIT,LACTO-FIT,33.79,49.0,31.04,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250631353,
2025-08-15,38,numbuzin,numbuzin,24.3,27.0,10.0,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA230518528,
2025-08-15,39,Laka,Laka,13.5,18.0,25.0,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250329235,
2025-08-15,40,numbuzin,numbuzin,28.94,44.0,34.23,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250631366,
2025-08-15,41,BB LAB,BB LAB,23.17,29.0,20.1,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA230920469,
2025-08-15,42,S.NATURE,S.NATURE,26.97,50.0,46.06,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250732245,
2025-08-15,43,LANEIGE,LANEIGE,24.0,26.0,7.69,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA210811541,
2025-08-15,44,SKIN1004,SKIN1004,24.6,41.0,40.0,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA241126581,
2025-08-15,45,UNOVE,UNOVE,34.76,49.0,29.06,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250228730,
2025-08-15,46,numbuzin,numbuzin,31.96,47.0,32.0,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250631365,
2025-08-15,47,2aN,2aN,17.25,22.0,21.59,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA230820146,
2025-08-15,48,Arencia,Arencia,17.15,23.0,25.43,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA241227085,
2025-08-15,49,APLB,APLB,11.98,20.0,40.1,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA240322455,
2025-08-15,50,goodal,goodal,34.76,50.0,30.48,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250732235,
2025-08-15,51,COSNORI,COSNORI,19.2,24.0,20.0,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA210000448,
2025-08-15,52,P.CALM,P.CALM,22.8,30.0,24.0,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250430489,
2025-08-15,53,SUNGBOON EDITOR,SUNGBOON EDITOR,33.6,50.0,32.8,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250732363,
2025-08-15,54,ETUDE,ETUDE,9.07,11.0,17.55,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250631683,
2025-08-15,55,Haruharu wonder,Haruharu wonder,46.81,47.0,0.4,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA230920574,
2025-08-15,56,Teazen,Teazen,14.88,25.0,40.48,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA230820071,
2025-08-15,57,Torriden,Torriden,36.75,49.0,25.0,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250732128,
2025-08-15,58,THE SAEM,THE SAEM,18.0,24.0,25.0,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250732371,
2025-08-15,59,BIODANCE,BIODANCE,22.27,29.0,23.21,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250631812,
2025-08-15,60,Seapuri,Seapuri,44.36,48.0,7.58,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA241026134,
