date_kst,rank,brand,product_name,price_current_usd,price_original_usd,discount_rate_pct,value_price_usd,has_value_price,product_url,image_url
2025-08-15,1,Beauty of Joseon,Beauty of Joseon,25.99,30.0,13.37,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA220615265,
2025-08-15,2,ROUND LAB,ROUND LAB,48.0,52.0,7.69,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250430113,
2025-08-15,3,VT,VT,37.68,67.0,43.76,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250530893,
2025-08-15,4,SKIN1004,SKIN1004,28.0,0.0,0.0,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA230518746,
2025-08-15,5,Beauty of Joseon,Beauty of Joseon,25.99,30.0,13.37,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA241227407,
2025-08-15,6,MEDIHEAL,MEDIHEAL,31.86,44.0,27.59,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA220815950,
2025-08-15,7,beplain,beplain,28.49,31.0,8.1,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250329175,
2025-08-15,8,medicube,medicube,34.34,61.0,43.7,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250530656,
2025-08-15,9,goodal,goodal,34.76,50.0,30.48,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250732235,
2025-08-15,10,AESTURA,AESTURA,44.0,0.0,0.0,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA240121573,
2025-08-15,11,Anua,Anua,18.75,30.0,37.5,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA241126972,
2025-08-15,12,FOODOLOGY,FOODOLOGY,22.02,28.0,21.36,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA230418329,
2025-08-15,13,numbuzin,numbuzin,28.39,42.0,32.4,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA230820183,
2025-08-15,14,REJURAN,REJURAN,58.0,0.0,0.0,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250329130,
2025-08-15,15,Torriden,Torriden,31.5,42.0,25.0,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250732129,
2025-08-15,16,Dr. Althea,Dr. Althea,52.5,70.0,25.0,0,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250530938,
