date_kst,rank,brand,product_name,price_current_usd,price_original_usd,discount_rate_pct,has_value_price,product_url,image_url
2025-08-14,64,,ROUND LAB,34.0,28.0,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA220414579,
2025-08-14,65,,HERA,57.0,52.44,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA240825234,https://cdn-image.oliveyoung.com/prdtImg/1998/02f19ffd-1ccb-450b-9145-5079b1811c96.png?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,66,,HERA,57.0,52.44,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA240825234,
2025-08-14,67,,Torriden,42.0,31.5,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250732129,https://cdn-image.oliveyoung.com/prdtImg/1260/6b9a638e-1109-4230-844f-7a8d550aac31.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,68,,Torriden,42.0,31.5,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250732129,
2025-08-14,69,,VT,67.0,37.68,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250530893,https://cdn-image.oliveyoung.com/prdtImg/1120/ff8d7b07-bbc8-4009-9d9d-399dc9fc62bd.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,70,,VT,67.0,37.68,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250530893,
2025-08-14,71,,COSNORI,17.0,13.6,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA210003122,https://cdn-image.oliveyoung.com/prdtImg/1549/b51ce332-cb76-40eb-b374-a0b652feb149.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,72,,COSNORI,17.0,13.6,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA210003122,
2025-08-14,73,,SUNGBOON EDITOR,42.0,30.21,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250732242,https://cdn-image.oliveyoung.com/prdtImg/1729/83137817-039c-497f-ace5-179b38f84a2e.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,74,,SUNGBOON EDITOR,42.0,30.21,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250732242,
2025-08-14,75,,LACTO-FIT,49.0,33.79,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250631353,https://cdn-image.oliveyoung.com/prdtImg/1826/6f6635fd-60a8-4c7c-a38b-8623fb263d8f.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,76,,LACTO-FIT,49.0,33.79,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250631353,
2025-08-14,77,,numbuzin,27.0,24.3,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA230518528,https://cdn-image.oliveyoung.com/prdtImg/1079/32ba91c2-0aff-4a63-bcf2-cc518fa4b615.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,78,,numbuzin,27.0,24.3,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA230518528,
2025-08-14,79,,Laka,18.0,13.5,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250329235,https://cdn-image.oliveyoung.com/prdtImg/1184/9109deea-9905-4db2-9689-b7331fccdaf0.png?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,80,,Laka,18.0,13.5,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250329235,
2025-08-14,81,,Dr.G Bestselling Red Cream Mega Value Set (Total 190ml + Extra Gifts) US$54.00 (Value: US$86.00),54.0,86.0,,False,https://global.oliveyoung.com/product/detail?prdtNo=GS250832666&dataSource=brand_item,https://cdn-image.oliveyoung.com/prdtImg/1653/36023bc1-296b-4653-9e45-668c3ed5c82b.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,82,,Dr.G Vitamin Spot Care Set US$73.90 (Value: US$127.00),73.9,127.0,,False,https://global.oliveyoung.com/product/detail?prdtNo=GS250832664&dataSource=brand_item,https://cdn-image.oliveyoung.com/prdtImg/1231/41008339-5023-4100-81f9-4b9136f0b2d3.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,83,,Dr.G Black Snail Line Set US$62.00 (Value: US$114.50),62.0,114.5,,False,https://global.oliveyoung.com/product/detail?prdtNo=GS250832665&dataSource=brand_item,https://cdn-image.oliveyoung.com/prdtImg/1706/00e93955-8500-4c9e-92e9-2453059c54c7.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,84,,Dr.G,54.0,86.0,,False,https://global.oliveyoung.com/product/detail?prdtNo=GS250832666,https://cdn-image.oliveyoung.com/prdtImg/1653/36023bc1-296b-4653-9e45-668c3ed5c82b.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,85,,Dr.G,54.0,86.0,,False,https://global.oliveyoung.com/product/detail?prdtNo=GS250832666,
2025-08-14,86,,BB LAB,29.0,23.17,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA230920469,https://cdn-image.oliveyoung.com/prdtImg/1459/54c87526-d761-4630-a962-119a713eb0a4.png?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,87,,BB LAB,29.0,23.17,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA230920469,
2025-08-14,88,,S.NATURE,50.0,26.97,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250732245,https://cdn-image.oliveyoung.com/prdtImg/1040/4cbd0d41-c9de-437f-8028-16670287551f.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,89,,S.NATURE,50.0,26.97,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250732245,
2025-08-14,90,,LANEIGE,26.0,24.0,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA210811541,https://cdn-image.oliveyoung.com/prdtImg/1612/c0c0860d-bda9-4fc9-b1d5-8453925f03f4.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,91,,LANEIGE,26.0,24.0,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA210811541,
2025-08-14,92,,SKIN1004,41.0,24.6,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA241126581,https://cdn-image.oliveyoung.com/prdtImg/1395/03c296ef-d82e-4e63-b78d-4f05af4f282c.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,93,,SKIN1004,41.0,24.6,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA241126581,
2025-08-14,94,,UNOVE,49.0,34.76,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250228730,https://cdn-image.oliveyoung.com/prdtImg/1914/41c0cb35-4b67-4d50-a4a4-1573d7dfb10f.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,95,,UNOVE,49.0,34.76,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250228730,
2025-08-14,96,,numbuzin,47.0,31.96,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250631365,https://cdn-image.oliveyoung.com/prdtImg/1713/6f3706f7-d160-4cd0-b100-f3621fd5aad8.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,97,,numbuzin,47.0,31.96,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250631365,
2025-08-14,98,,2aN,22.0,17.25,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA230820146,https://cdn-image.oliveyoung.com/prdtImg/1722/dfe67d51-2d38-4724-9942-6a4e4fae991d.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,99,,2aN,22.0,17.25,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA230820146,
2025-08-14,100,,Arencia,23.0,17.15,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA241227085,https://cdn-image.oliveyoung.com/prdtImg/1686/9367dda2-78e6-45ff-9c1b-d5555920cd10.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
