rank,brand,name,original_price,sale_price,discount_pct,url,raw_name
54,ROUND,ROUND LAB 1025 Dokdo Toner Jumbo Size 500ml (Free Gift: Toner 100ml),54.0,36.0,33.33,https://global.oliveyoung.com/product/detail?prdtNo=GA210002626,ROUND LAB 1025 Dokdo Toner Jumbo Size 500ml (Free Gift: Toner 100ml)
55,VT,VT Reedle Shot 100 Essence 50mL Set (+Reedle Shot 300 1ml*3 +PDRN Essence 1.5ml*3),55.0,32.0,41.82,https://global.oliveyoung.com/product/detail?prdtNo=GA250631564,VT Reedle Shot 100 Essence 50mL Set (+Reedle Shot 300 1ml*3 +PDRN Essence 1.5ml*3)
56,+Market Bag,[TANNING KUROMI EDITION] MEDIHEAL PDRN Lifting Pad 100P Double Pack (+Market Bag),56.0,47.0,16.07,https://global.oliveyoung.com/product/detail?prdtNo=GA250631467,[TANNING KUROMI EDITION] MEDIHEAL PDRN Lifting Pad 100P Double Pack (+Market Bag)
57,beauty,beauty of joseon Matte sun stick : Mugwort + Camelia Double Pack,57.0,30.0,47.37,https://global.oliveyoung.com/product/detail?prdtNo=GA240825347,beauty of joseon Matte sun stick : Mugwort + Camelia Double Pack
58,VT,VT Reedle Shot 300 Essence 50mL,58.0,44.0,24.14,https://global.oliveyoung.com/product/detail?prdtNo=GA230820054,VT Reedle Shot 300 Essence 50mL
59,medicube,medicube Zero Pore Pad 2.0 70P Refill Set,59.0,44.0,25.42,https://global.oliveyoung.com/product/detail?prdtNo=GA240624216,medicube Zero Pore Pad 2.0 70P Refill Set
60,BIODANCE,BIODANCE Bio-Collagen Real Deep Mask Sheet 7P Set (+Sea Kelp Mask),60.0,37.0,38.33,https://global.oliveyoung.com/product/detail?prdtNo=GA250631719,BIODANCE Bio-Collagen Real Deep Mask Sheet 7P Set (+Sea Kelp Mask)
61,Isntree,Isntree Hyaluronic Acid Watery Sun Gel Double Set (50mL+50mL),61.0,39.1,35.9,https://global.oliveyoung.com/product/detail?prdtNo=GA230920295,Isntree Hyaluronic Acid Watery Sun Gel Double Set (50mL+50mL)
62,Dr.G,Dr.G Green Mild Up Sun+ Special Set,62.0,32.0,48.39,https://global.oliveyoung.com/product/detail?prdtNo=GA230217716,Dr.G Green Mild Up Sun+ Special Set
63,+Calming Pad 2P,S.NATURE Aqua Squalane Moisturizing Cream 60ml Triple Pack (+Calming Pad 2P),76.0,76.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA250531040,S.NATURE Aqua Squalane Moisturizing Cream 60ml Triple Pack (+Calming Pad 2P)
64,d'Alba,d'Alba Waterfull Tone-Up Sun Cream Duo Set (50mL+50mL),64.0,59.0,7.81,https://global.oliveyoung.com/product/detail?prdtNo=GA220414400,d'Alba Waterfull Tone-Up Sun Cream Duo Set (50mL+50mL)
65,ilso,ilso Super Melting Sebum Softener 150ml Set (+Cotton Pad 40P+Pore Tension Mask Sheet 1ea),65.0,31.0,52.31,https://global.oliveyoung.com/product/detail?prdtNo=GA250530726,ilso Super Melting Sebum Softener 150ml Set (+Cotton Pad 40P+Pore Tension Mask Sheet 1ea)
66,S.NATURE,S.NATURE Aqua Squalane Moisturizing Cream 60ml Double Pack (+Aqua Gel Mask Sheet 1ea),66.0,50.0,24.24,https://global.oliveyoung.com/product/detail?prdtNo=GA250732245,S.NATURE Aqua Squalane Moisturizing Cream 60ml Double Pack (+Aqua Gel Mask Sheet 1ea)
67,ROUND,ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN 50ml Set,67.0,30.0,55.22,https://global.oliveyoung.com/product/detail?prdtNo=GA210004685,ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN 50ml Set
68,BIOHEAL,BIOHEAL BOH Probioderm 3D Lifting Cream 50mL Refill Set,68.0,56.0,17.65,https://global.oliveyoung.com/product/detail?prdtNo=GA240121787,BIOHEAL BOH Probioderm 3D Lifting Cream 50mL Refill Set
69,lilyeve,lilyeve Grow Turn Ampoule 100ml Set (+Refill 100ml),69.0,46.0,33.33,https://global.oliveyoung.com/product/detail?prdtNo=GA250228571,lilyeve Grow Turn Ampoule 100ml Set (+Refill 100ml)
70,1+1,[1+1] House of Hur Weightless Sun Fluid 50ml,70.0,29.0,58.57,https://global.oliveyoung.com/product/detail?prdtNo=GS250631495,[1+1] House of Hur Weightless Sun Fluid 50ml
71,Flimeal,Flimeal Protein Shake 45g,71.0,5.0,92.96,https://global.oliveyoung.com/product/detail?prdtNo=GA240122024,Flimeal Protein Shake 45g
72,CAREPLUS CAREPLUS Scar Cover Spot Patch 324P (RENEWAL),CAREPLUS Scar Cover Spot Patch 324P (RENEWAL),72.0,21.0,70.83,https://global.oliveyoung.com/product/detail?prdtNo=GA250329366,CAREPLUS Scar Cover Spot Patch 324P (RENEWAL)
73,+Multi Pad 10P,Torriden Dive In Serum 50mL Special Set (+Multi Pad 10P),73.0,26.0,64.38,https://global.oliveyoung.com/product/detail?prdtNo=GA230920410,Torriden Dive In Serum 50mL Special Set (+Multi Pad 10P)
74,Seapuri,Seapuri Dr. 33 Hair Ampoule 20ml 1+1 Set,74.0,48.0,35.14,https://global.oliveyoung.com/product/detail?prdtNo=GA241026134,Seapuri Dr. 33 Hair Ampoule 20ml 1+1 Set
75,+Pouch Keyring,[GANADI EDITION] Torriden Dive-In Low Molecular Hyaluronic Acid Soothing Cream 100ml Double Pack (+Pouch Keyring),75.0,49.0,34.67,https://global.oliveyoung.com/product/detail?prdtNo=GA250732128,[GANADI EDITION] Torriden Dive-In Low Molecular Hyaluronic Acid Soothing Cream 100ml Double Pack (+Pouch Keyring)
76,Centellian24,Centellian24 Madeca Cream Time Reverse Special Set (Madeca Lab Mask Sheet 1P+ Time Reverse Cream 15mL),76.0,44.0,42.11,https://global.oliveyoung.com/product/detail?prdtNo=GA240121791,Centellian24 Madeca Cream Time Reverse Special Set (Madeca Lab Mask Sheet 1P+ Time Reverse Cream 15mL)
77,AESTURA,AESTURA Derma UV365 Barrier Hydro Mineral Sunscreen 40ml Set (+20ml),77.0,41.0,46.75,https://global.oliveyoung.com/product/detail?prdtNo=GA240624151,AESTURA Derma UV365 Barrier Hydro Mineral Sunscreen 40ml Set (+20ml)
78,Celimax,Celimax The Real Noni Energy Ampoule 80ml Special Set (+Ampoule 10ml),78.0,39.0,50.0,https://global.oliveyoung.com/product/detail?prdtNo=GA240423022,Celimax The Real Noni Energy Ampoule 80ml Special Set (+Ampoule 10ml)
79,ILLIYOON,ILLIYOON Fresh Moisture Scrub Wash 400ml*2ea Set,79.0,30.0,62.03,https://global.oliveyoung.com/product/detail?prdtNo=GA250430397,ILLIYOON Fresh Moisture Scrub Wash 400ml*2ea Set
80,Beauty,Beauty of Joseon Revive Eye Serum Ginseng + Retinol 30mL,80.0,17.0,78.75,https://global.oliveyoung.com/product/detail?prdtNo=GA220816048,Beauty of Joseon Revive Eye Serum Ginseng + Retinol 30mL
81,ETUDE [Tanning Cinnamoroll] Curl Fix Mascara 1+1 (+Mini Mascara),[Tanning Cinnamoroll] Curl Fix Mascara 1+1 (+Mini Mascara),81.0,16.0,80.25,https://global.oliveyoung.com/product/detail?prdtNo=GA250631684,[Tanning Cinnamoroll] Curl Fix Mascara 1+1 (+Mini Mascara)
82,SKINFOOD,SKINFOOD Carrot Carotene Calming Water Pad 60P Double Set,82.0,49.0,40.24,https://global.oliveyoung.com/product/detail?prdtNo=GA250430137,SKINFOOD Carrot Carotene Calming Water Pad 60P Double Set
83,MEDIHEAL,MEDIHEAL Toner Pad 100 Pads (7types Madecassoside Collagen etc),83.0,35.0,57.83,https://global.oliveyoung.com/product/detail?prdtNo=GA220815951,MEDIHEAL Toner Pad 100 Pads (7types Madecassoside Collagen etc)
84,FOODOLOGY,FOODOLOGY Coleology PRO 600mg*60 Tablets (1-month supply),84.0,53.0,36.9,https://global.oliveyoung.com/product/detail?prdtNo=GA250631343,FOODOLOGY Coleology PRO 600mg*60 Tablets (1-month supply)
85,JUNGSAEMMOOL JUNGSAEMMOOL Essential Skin Nuder Cushion,JUNGSAEMMOOL Essential Skin Nuder Cushion,85.0,45.0,47.06,https://global.oliveyoung.com/product/detail?prdtNo=GA210002919,JUNGSAEMMOOL Essential Skin Nuder Cushion
86,SKIN1004,SKIN1004 Madagascar Centella Light Cleansing Oil 200mL,86.0,22.0,74.42,https://global.oliveyoung.com/product/detail?prdtNo=GA220113369,SKIN1004 Madagascar Centella Light Cleansing Oil 200mL
87,Anua,Anua Heartleaf Quercetinol Pore Deep Cleansing Foam 150ml (+25ml),87.0,13.0,85.06,https://global.oliveyoung.com/product/detail?prdtNo=GA240724586,Anua Heartleaf Quercetinol Pore Deep Cleansing Foam 150ml (+25ml)
88,SKIN1004,SKIN1004 Perfect Suncare Kit (Sun serum 50ml+Sun stick 20g+Cleansing oil 30ml+Cleansing Foam 20ml),88.0,41.0,53.41,https://global.oliveyoung.com/product/detail?prdtNo=GA241126581,SKIN1004 Perfect Suncare Kit (Sun serum 50ml+Sun stick 20g+Cleansing oil 30ml+Cleansing Foam 20ml)
89,SUNGBOON,SUNGBOON EDITOR Top-Selling Set,168.35,168.35,,https://global.oliveyoung.com/product/detail?prdtNo=GA250732435,SUNGBOON EDITOR Top-Selling Set
90,espoir,espoir Be Velvet Cover Cushion (+Refill),90.0,40.0,55.56,https://global.oliveyoung.com/product/detail?prdtNo=GA231121068,espoir Be Velvet Cover Cushion (+Refill)
91,goodal,goodal Green Tangerine Vita-C Dark Spot Care Serum α 50ml Set (+35ml),91.0,50.0,45.05,https://global.oliveyoung.com/product/detail?prdtNo=GA250731969,goodal Green Tangerine Vita-C Dark Spot Care Serum α 50ml Set (+35ml)
92,BRINGGREEN,BRINGGREEN Zinc Teca Blemish Serum 50ml + Refill 25ml (+Tea Tree Pads 20P+Pad Case),92.0,65.0,29.35,https://global.oliveyoung.com/product/detail?prdtNo=GA250228437,BRINGGREEN Zinc Teca Blemish Serum 50ml + Refill 25ml (+Tea Tree Pads 20P+Pad Case)
93,HERA,HERA Black Cushion Refill 15g,93.0,38.0,59.14,https://global.oliveyoung.com/product/detail?prdtNo=GA240825269,HERA Black Cushion Refill 15g
94,ILLIYOON,ILLIYOON Cearmide Ato Concentrate Cream 150mL*2ea,94.0,29.0,69.15,https://global.oliveyoung.com/product/detail?prdtNo=GA250127972,ILLIYOON Cearmide Ato Concentrate Cream 150mL*2ea
95,Dr.G,Dr.G Red Blemish Soothing Up Sun 50mL 1+1 Special Set,95.0,33.0,65.26,https://global.oliveyoung.com/product/detail?prdtNo=GA240222102,Dr.G Red Blemish Soothing Up Sun 50mL 1+1 Special Set
96,numbuzin,numbuzin No. 9 NAD Bio Lifting-sil Essence 50ml,96.0,33.0,65.62,https://global.oliveyoung.com/product/detail?prdtNo=GA250127641,numbuzin No. 9 NAD Bio Lifting-sil Essence 50ml
97,LANEIGE [NEW] LANEIGE Neo Essential Blurring Finish Powder 7g,[NEW] LANEIGE Neo Essential Blurring Finish Powder 7g,97.0,32.0,67.01,https://global.oliveyoung.com/product/detail?prdtNo=GA230217651,[NEW] LANEIGE Neo Essential Blurring Finish Powder 7g
98,INNISFREE,INNISFREE Retinol Cica Repair Ampoule 30ml Double Pack,98.0,61.0,37.76,https://global.oliveyoung.com/product/detail?prdtNo=GA250732068,INNISFREE Retinol Cica Repair Ampoule 30ml Double Pack
99,BB,BB LAB Low Molecular Collagen S 30 Sticks Double Pack (60-day supply),99.0,45.0,54.55,https://global.oliveyoung.com/product/detail?prdtNo=GA240724756,BB LAB Low Molecular Collagen S 30 Sticks Double Pack (60-day supply)
100,MEDIHEAL,MEDIHEAL Collagen Essential Mask Sheet Core Firming 10ea Set (1ea),100.0,27.0,73.0,https://global.oliveyoung.com/product/detail?prdtNo=GA250329470,MEDIHEAL Collagen Essential Mask Sheet Core Firming 10ea Set (1ea)
